country,app,installs,daus,retention_rate_d7,roas_d7,cost
Hong Kong,Merge HomeTown,3,3.5,0.0,0.0,0.0
Hong Kong,Tales and Dragon,3,1.5,0.3333,0.0,0.0
Iceland,Merge Fever,3,2.875,0.0,0.0,0.0
Luxembourg,Merge Fever,3,4.375,0.3333,0.0,0.0
Martinique,Merge Fever,3,2.875,0.0,0.0,0.0
Mexico,Tales and Dragon,3,3.625,0.3333,0.0,0.0
New Zealand,Merge HomeTown,3,5.875,0.6667,0.0,0.0
"Palestinian Territory, Occupied",Merge Fever,3,2.625,0.0,0.0,0.0
Senegal,Merge Fever,3,0.875,0.0,0.0,0.0
Sweden,Tales and Dragon,3,6.125,0.0,0.0,0.0
Uzbekistan,Merge HomeTown,3,4.25,0.3333,0.0,0.0
"Venezuela, Bolivarian Republic Of",Merge HomeTown,3,2.125,0.0,0.0,0.0
Afghanistan,Merge HomeTown,2,0.5,0.0,0.0,0.0
Costa Rica,Merge HomeTown,2,1.375,0.0,0.0,0.0
Croatia,Merge HomeTown,2,2.375,1.0,0.0,0.0
Czech Republic,Tales and Dragon,2,5.25,0.0,0.0,0.0
Denmark,Tales and Dragon,2,1.625,0.0,0.0,0.0
Ecuador,Merge HomeTown,2,0.625,0.0,0.0,0.0
El Salvador,Merge HomeTown,2,0.5,0.0,0.0,0.0
Finland,Merge HomeTown,2,3.625,0.5,0.0,0.0
Haiti,Merge Fever,2,0.5,0.0,0.0,0.0
Hungary,Tales and Dragon,2,7.125,0.0,0.0,0.0
"Iran, Islamic Republic Of",Tales and Dragon,2,2.875,0.0,0.0,0.0
Libya,Merge Fever,2,2.625,0.0,0.0,0.0
Libya,Tales and Dragon,2,0.625,0.0,0.0,0.0
Lithuania,Merge HomeTown,2,2.625,0.0,0.0,0.0
Mongolia,Merge Fever,2,0.875,0.5,0.0,0.0
Mozambique,Merge Fever,2,3.125,0.0,0.1345,0.3019
Nepal,Merge HomeTown,2,0.625,0.0,0.0,0.0
New Caledonia,Merge Fever,2,0.5,0.5,0.0,0.0
Oman,Merge HomeTown,2,1.125,0.5,0.0,0.0
Pakistan,Tales and Dragon,2,0.375,0.0,0.0,0.0
Paraguay,Merge Fever,2,1.125,0.0,0.0,0.0
Peru,Merge HomeTown,2,1.5,0.0,0.0,0.0
Puerto Rico,Tales and Dragon,2,0.5,0.0,0.0,0.0
Singapore,Merge HomeTown,2,4.625,0.0,0.0,0.0
Slovenia,Merge HomeTown,2,1.75,0.0,0.0,0.0
South Africa,Tales and Dragon,2,4.75,0.0,0.0,0.0
Sri Lanka,Merge HomeTown,2,1.5,0.5,0.0,0.0
Sweden,Merge HomeTown,2,11.5,0.0,0.0,0.0
United Arab Emirates,Tales and Dragon,2,1.25,0.5,0.0,0.0
Zimbabwe,Merge Fever,2,3.875,0.5,0.4843,0.4801
Afghanistan,Merge Fever,1,0.125,0.0,0.0,0.0
Albania,Tales and Dragon,1,0.875,1.0,0.0,0.0
American Samoa,Merge Fever,1,0.875,0.0,0.018,0.2161
Armenia,Merge HomeTown,1,1.25,0.0,0.0,0.0
Aruba,Merge Fever,1,0.75,0.0,0.0,0.0
Azerbaijan,Tales and Dragon,1,0.5,0.0,0.0,0.0
Bangladesh,Tales and Dragon,1,0.875,0.0,0.0,0.0
Barbados,Merge HomeTown,1,0.375,0.0,0.0,0.0
Benin,Merge Fever,1,0.625,0.0,0.0,0.0
Bhutan,Merge Fever,1,0.125,0.0,0.0,0.0
Bosnia & Herzegovina,Tales and Dragon,1,0.25,0.0,0.0,0.0
Brunei Darussalam,Merge HomeTown,1,0.5,0.0,0.0,0.0
Cameroon,Merge Fever,1,1.375,0.0,0.0,0.0
Chad,Merge Fever,1,0.375,0.0,0.0,0.0
Cyprus,Merge HomeTown,1,2.625,1.0,0.0,0.0
Cyprus,Tales and Dragon,1,0.25,0.0,0.0,0.0
Democratic Republic Of Congo,Merge Fever,1,0.625,0.0,0.0,0.0
Dominica,Merge HomeTown,1,0.125,0.0,0.0,0.0
